,BMS,BV,CB_SecA,CB_SecB,CB_SecC,CCS_SecA,CCS_SecB,CCS_SecC,CRM_SecA,CRM_SecB,CRM_SecC,CS_SecA,CS_SecB,CS_SecC,DMPA_SecA,DMPA_SecB,DRV_SecA,DRV_SecB,DSMM_SecA,DSMM_SecB,DSMM_SecC,DTI_SecA,DTI_SecB,DTI_SecC,DT_SecA,DT_SecB,DT_SecC,DWDV,EMPP_SecA,EMPP_SecB,FIS_SecA,FIS_SecB,FIS_SecC,GMRM,IMC_SecA,IMC_SecB,IMC_SecC,IMKT_SecA,IMKT_SecB,IMKT_SecC,IM_SecA,IM_SecB,IM_SecC,NCM,ODC_SecA,ODC_SecB,PBM_SecA,PBM_SecB,PBM_SecC,PM_SecA,PM_SecB,PRI_SecA,PRI_SecB,REE,SCM_SecA,SCM_SecB,SDM_SecA,SDM_SecB,SDM_SecC,SMTI
BMS,48,3,7,6,0,4,7,2,19,5,2,1,5,2,0,7,6,1,3,6,11,6,2,2,8,2,1,2,10,0,2,6,0,1,6,7,2,12,6,0,4,1,1,1,2,0,1,4,3,0,5,10,7,2,7,1,7,1,3,8
BV,3,53,0,0,6,4,4,1,1,0,10,7,7,1,0,13,12,20,8,0,1,3,1,0,0,0,6,2,3,0,0,18,23,1,0,0,6,0,5,6,2,18,20,0,2,0,0,0,16,4,1,0,10,1,0,7,0,1,6,5
CB_SecA,7,0,36,0,0,1,0,0,6,9,1,0,2,0,11,0,0,0,7,6,4,0,5,2,9,3,0,7,4,0,0,0,0,0,10,4,0,9,3,2,0,0,0,2,0,0,3,2,0,1,5,20,1,1,4,0,5,6,0,18
CB_SecB,6,0,0,37,0,7,7,2,4,4,4,1,10,3,3,0,0,0,4,7,4,4,8,2,3,5,0,6,2,0,0,0,0,0,2,10,2,8,6,0,0,0,0,0,1,0,5,6,0,0,5,8,3,1,11,0,10,6,2,3
CB_SecC,0,6,0,0,38,13,3,0,1,0,11,5,6,1,0,0,10,4,4,2,0,5,4,0,0,0,3,5,3,0,8,6,7,0,0,1,5,1,7,1,9,8,0,0,3,0,3,8,6,2,3,0,2,0,3,1,1,5,10,4
CCS_SecA,4,4,1,7,13,37,0,0,4,5,8,5,3,1,0,0,5,0,2,2,13,5,5,0,0,0,0,0,0,0,3,3,4,0,3,4,2,10,11,0,4,6,2,0,0,0,5,4,3,0,1,7,0,0,5,0,6,3,8,4
CCS_SecB,7,4,0,7,3,0,39,0,4,6,3,1,9,2,3,3,4,3,1,9,3,5,3,0,6,6,2,7,0,0,1,3,4,0,1,8,5,0,7,0,4,0,3,0,0,0,5,4,2,3,8,6,3,0,9,0,5,5,2,6
CCS_SecC,2,1,0,2,0,0,0,37,6,2,0,0,0,6,3,2,0,0,0,0,7,1,0,3,1,1,2,2,8,20,0,0,1,20,4,2,2,2,0,0,0,1,0,21,17,5,3,0,0,0,2,0,5,23,1,0,4,2,0,1
CRM_SecA,19,1,6,4,1,4,4,6,45,0,0,0,0,1,5,1,0,0,2,5,12,2,2,9,13,2,0,1,18,0,0,0,0,2,13,4,2,8,3,1,0,0,1,3,5,0,2,0,0,2,6,14,6,3,7,4,16,0,1,4
CRM_SecB,5,0,9,4,0,5,6,2,0,44,0,0,3,3,8,0,0,0,1,12,9,2,6,7,6,4,0,9,3,0,0,0,0,0,11,8,0,14,2,1,0,0,0,0,0,0,11,5,0,3,5,10,1,2,11,1,7,12,0,12
CRM_SecC,2,10,1,4,11,8,3,0,0,0,44,9,8,2,2,4,8,2,4,4,6,5,3,0,2,2,2,5,1,0,7,5,9,0,1,3,7,3,7,3,6,6,11,0,0,0,0,10,5,1,3,1,2,0,0,2,0,6,9,5
CS_SecA,1,7,0,1,5,5,1,0,0,0,9,43,0,0,2,3,9,7,3,2,2,7,2,0,0,0,2,1,0,0,7,8,11,0,0,2,12,0,7,3,13,11,8,0,1,0,5,9,11,4,2,0,2,0,0,7,0,4,17,2
CS_SecB,5,7,2,10,6,3,9,0,0,3,8,0,43,0,3,5,2,4,2,10,5,8,4,0,2,10,4,7,0,0,1,2,4,0,5,7,5,3,5,3,0,4,3,0,0,0,0,8,3,5,7,0,5,0,3,5,0,8,5,5
CS_SecC,2,1,0,3,1,1,2,6,1,3,2,0,0,43,6,4,0,0,0,2,5,0,2,1,1,6,4,9,6,22,2,0,1,22,2,0,1,3,1,1,0,1,0,24,0,22,0,3,0,3,1,2,5,23,0,3,1,3,0,1
DMPA_SecA,0,0,11,3,0,0,3,3,5,8,2,2,3,6,47,0,0,0,12,6,0,2,0,0,6,21,5,25,2,0,0,0,0,0,10,3,2,0,3,14,0,0,0,1,0,0,3,14,0,14,5,8,2,1,3,10,0,8,4,5
DMPA_SecB,7,13,0,0,0,0,3,2,1,0,4,3,5,4,0,46,4,9,5,1,0,10,0,0,2,3,22,16,1,0,13,10,4,0,0,1,0,0,1,16,2,8,13,1,0,0,0,2,17,3,9,1,6,0,0,4,0,0,3,1
DRV_SecA,6,12,0,0,10,5,4,0,0,0,8,9,2,0,0,4,36,0,9,0,2,5,1,0,0,0,3,0,1,0,3,13,13,0,0,0,4,0,6,1,18,5,4,0,2,0,0,0,13,0,0,0,2,0,0,0,0,0,15,0
DRV_SecB,1,20,0,0,4,0,3,0,0,0,2,7,4,0,0,9,0,36,0,0,0,4,0,0,0,0,7,5,0,0,2,15,17,0,0,0,8,0,0,7,15,12,5,1,0,0,0,0,6,6,0,0,7,0,0,10,0,0,0,3
DSMM_SecA,3,8,7,4,4,2,1,0,2,1,4,3,2,0,12,5,9,0,47,0,0,4,0,0,8,3,2,17,0,0,6,7,3,0,6,2,0,0,0,2,3,6,6,0,0,0,7,9,9,13,4,4,6,0,9,7,3,7,11,4
DSMM_SecB,6,0,6,7,2,2,9,0,5,12,4,2,10,2,6,1,0,0,0,47,0,0,7,8,5,7,0,10,0,0,3,0,0,0,12,6,3,2,3,0,0,0,1,0,0,0,9,10,0,6,4,10,3,0,9,2,8,10,4,19
DSMM_SecC,11,1,4,4,0,13,3,7,12,9,6,2,5,5,0,0,2,0,0,0,46,8,5,8,5,2,0,0,15,0,3,0,0,3,16,3,2,16,8,0,1,0,2,2,0,2,7,2,0,0,2,3,3,4,1,1,5,5,3,9
DTI_SecA,6,3,0,4,5,5,5,1,2,2,5,7,8,0,2,10,5,4,4,0,8,36,0,0,4,4,3,3,0,0,5,3,6,0,0,3,4,2,8,1,5,8,4,0,0,0,2,2,2,3,5,1,4,0,2,2,0,3,2,3
DTI_SecB,2,1,5,8,4,5,3,0,2,6,3,2,4,2,0,0,1,0,0,7,5,0,33,0,3,3,0,3,3,0,2,0,0,0,4,6,0,9,6,0,0,0,0,0,0,0,10,2,0,2,4,7,4,0,8,0,7,11,2,9
DTI_SecC,2,0,2,2,0,0,0,3,9,7,0,0,0,1,0,0,0,0,0,8,8,0,0,34,0,0,0,2,15,0,0,0,0,7,9,9,3,9,0,0,0,0,1,6,6,0,12,0,0,0,0,5,4,5,4,0,17,3,0,11
DT_SecA,8,0,9,3,0,0,6,1,13,6,2,0,2,1,6,2,0,0,8,5,5,4,3,0,37,0,0,8,4,0,0,0,0,0,8,8,1,3,6,0,0,0,0,0,1,0,4,2,0,5,6,14,3,0,6,5,7,5,0,5
DT_SecB,2,0,3,5,0,0,6,1,2,4,2,0,10,6,21,3,0,0,3,7,2,4,3,0,0,36,0,17,3,0,1,0,0,0,2,2,2,0,6,9,0,0,1,0,0,0,2,10,0,8,5,3,2,1,2,7,0,4,5,4
DT_SecC,1,6,0,0,3,0,2,2,0,0,2,2,4,4,5,22,3,7,2,0,0,3,0,0,0,0,37,18,0,0,11,8,2,0,0,0,3,0,1,17,2,7,11,2,0,0,0,6,13,4,6,0,0,0,0,1,0,0,4,1
DWDV,2,2,7,6,5,0,7,2,1,9,5,1,7,9,25,16,0,5,17,10,0,3,3,2,8,17,18,70,1,0,12,5,0,0,6,5,5,0,2,22,4,2,6,3,0,0,1,16,9,15,7,7,0,0,6,10,4,5,6,4
EMPP_SecA,10,3,4,2,3,0,0,8,18,3,1,0,0,6,2,1,1,0,0,0,15,0,3,15,4,3,0,1,49,0,2,0,1,15,10,6,2,10,1,0,0,0,1,15,14,2,4,2,0,0,3,3,10,15,0,2,9,2,1,12
EMPP_SecB,0,0,0,0,0,0,0,20,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,48,15,33,0,0,0,0,6,0,0,48,0,0,0,0,0,0
FIS_SecA,2,0,0,0,8,3,1,0,0,0,7,7,1,2,0,13,3,2,6,3,3,5,2,0,0,1,11,12,2,0,38,0,0,0,0,0,8,0,6,10,6,4,0,2,0,0,0,8,15,2,5,0,7,0,0,5,0,3,12,3
FIS_SecB,6,18,0,0,6,3,3,0,0,0,5,8,2,0,0,10,13,15,7,0,0,3,0,0,0,0,8,5,0,0,0,38,0,0,0,0,5,0,4,8,17,8,6,0,0,0,0,0,13,1,0,0,4,0,0,2,0,0,7,3
FIS_SecC,0,23,0,0,7,4,4,1,0,0,9,11,4,1,0,4,13,17,3,0,0,6,0,0,0,0,2,0,1,0,0,0,38,0,0,0,7,0,1,2,14,13,9,0,2,0,0,0,8,4,0,0,8,0,0,6,0,0,4,2
GMRM,1,1,0,0,0,0,0,20,2,0,0,0,0,22,0,0,0,0,0,0,3,0,0,7,0,0,0,0,15,48,0,0,0,66,1,0,2,3,0,0,0,0,1,62,28,35,2,0,0,0,6,0,1,63,0,0,2,0,0,5
IMC_SecA,6,0,10,2,0,3,1,4,13,11,1,0,5,2,10,0,0,0,6,12,16,0,4,9,8,2,0,6,10,0,0,0,0,1,41,0,0,8,2,0,0,0,0,0,0,0,10,0,0,7,3,3,0,0,3,7,5,2,0,13
IMC_SecB,7,0,4,10,1,4,8,2,4,8,3,2,7,0,3,1,0,0,2,6,3,3,6,9,8,2,0,5,6,0,0,0,0,0,0,41,0,9,4,0,0,0,0,1,3,0,11,4,0,2,4,7,9,0,6,0,11,12,0,8
IMC_SecC,2,6,0,2,5,2,5,2,2,0,7,12,5,1,2,0,4,8,0,3,2,4,0,3,1,2,3,5,2,0,8,5,7,2,0,0,40,0,3,1,8,6,7,3,3,0,2,5,4,2,3,1,13,1,2,4,4,4,9,3
IMKT_SecA,12,0,9,8,1,10,0,2,8,14,3,0,3,3,0,0,0,0,0,2,16,2,9,9,3,0,0,0,10,0,0,0,0,3,8,9,0,42,0,0,0,0,0,3,3,0,9,0,0,0,3,11,3,4,4,0,9,4,0,13
IMKT_SecB,6,5,3,6,7,11,7,0,3,2,7,7,5,1,3,1,6,0,0,3,8,8,6,0,6,6,1,2,1,0,6,4,1,0,2,4,3,0,41,0,3,5,3,0,0,0,5,9,2,0,3,6,2,0,4,1,2,5,11,3
IMKT_SecC,0,6,2,0,1,0,0,0,1,1,3,3,3,1,14,16,1,7,2,0,0,1,0,0,0,9,17,22,0,0,10,8,2,0,0,0,1,0,0,41,6,4,6,0,0,0,0,10,13,9,5,3,4,0,0,7,0,2,5,0
IM_SecA,4,2,0,0,9,4,4,0,0,0,6,13,0,0,0,2,18,15,3,0,1,5,0,0,0,0,2,4,0,0,6,17,14,0,0,0,8,0,3,6,37,0,0,1,0,0,0,0,12,3,0,0,6,0,0,5,0,0,12,0
IM_SecB,1,18,0,0,8,6,0,1,0,0,6,11,4,1,0,8,5,12,6,0,0,8,0,0,0,0,7,2,0,0,4,8,13,0,0,0,6,0,5,4,0,36,0,0,1,0,1,4,11,0,1,0,6,0,0,3,0,0,9,0
IM_SecC,1,20,0,0,0,2,3,0,1,0,11,8,3,0,0,13,4,5,6,1,2,4,0,1,0,1,11,6,1,0,0,6,9,1,0,0,7,0,3,6,0,0,36,0,1,0,0,2,10,6,3,0,2,1,0,7,0,1,3,8
NCM,1,0,2,0,0,0,0,21,3,0,0,0,0,24,1,1,0,1,0,0,2,0,0,6,0,0,2,3,15,48,2,0,0,62,0,1,3,3,0,0,1,0,0,68,27,35,1,0,0,0,6,2,0,62,0,0,1,0,0,4
ODC_SecA,2,2,0,1,3,0,0,17,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,14,15,0,0,2,28,0,3,3,3,0,0,0,1,1,27,36,0,1,0,2,0,0,1,3,27,0,0,5,0,0,4
ODC_SecB,0,0,0,0,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,33,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,6,0,0,35,0,0,0,0,0,0
PBM_SecA,1,0,3,5,3,5,5,3,2,11,0,5,0,0,3,0,0,0,7,9,7,2,10,12,4,2,0,1,4,0,0,0,0,2,10,11,2,9,5,0,0,1,0,1,1,0,46,0,0,12,7,2,6,2,13,6,6,16,1,13
PBM_SecB,4,0,2,6,8,4,4,0,0,5,10,9,8,3,14,2,0,0,9,10,2,2,2,0,2,10,6,16,2,0,8,0,0,0,0,4,5,0,9,10,0,4,2,0,0,0,0,47,0,7,0,4,4,0,2,6,0,11,14,5
PBM_SecC,3,16,0,0,6,3,2,0,0,0,5,11,3,0,0,17,13,6,9,0,0,2,0,0,0,0,13,9,0,0,15,13,8,0,0,0,4,0,2,13,12,11,10,0,2,0,0,0,47,1,3,0,7,0,0,2,0,0,13,1
PM_SecA,0,4,1,0,2,0,3,0,2,3,1,4,5,3,14,3,0,6,13,6,0,3,2,0,5,8,4,15,0,0,2,1,4,0,7,2,2,0,0,9,3,0,6,0,0,0,12,7,1,46,0,1,8,0,11,30,4,6,0,7
PM_SecB,5,1,5,5,3,1,8,2,6,5,3,2,7,1,5,9,0,0,4,4,2,5,4,0,6,5,6,7,3,6,5,0,0,6,3,4,3,3,3,5,0,1,3,6,0,6,7,0,3,0,46,7,8,9,7,3,7,8,1,2
PRI_SecA,10,0,20,8,0,7,6,0,14,10,1,0,0,2,8,1,0,0,4,10,3,1,7,5,14,3,0,7,3,0,0,0,0,0,3,7,1,11,6,3,0,0,0,2,1,0,2,4,0,1,7,48,0,1,6,1,17,7,0,16
PRI_SecB,7,10,1,3,2,0,3,5,6,1,2,2,5,5,2,6,2,7,6,3,3,4,4,4,3,2,0,0,10,0,7,4,8,1,0,9,13,3,2,4,6,6,2,0,3,0,6,4,7,8,8,0,48,0,6,7,7,7,3,1
REE,2,1,1,1,0,0,0,23,3,2,0,0,0,23,1,0,0,0,0,0,4,0,0,5,0,1,0,0,15,48,0,0,0,63,0,0,1,4,0,0,0,0,1,62,27,35,2,0,0,0,9,1,0,69,2,0,1,2,0,5
SCM_SecA,7,0,4,11,3,5,9,1,7,11,0,0,3,0,3,0,0,0,9,9,1,2,8,4,6,2,0,6,0,0,0,0,0,0,3,6,2,4,4,0,0,0,0,0,0,0,13,2,0,11,7,6,6,2,41,0,17,4,0,7
SCM_SecB,1,7,0,0,1,0,0,0,4,1,2,7,5,3,10,4,0,10,7,2,1,2,0,0,5,7,1,10,2,0,5,2,6,0,7,0,4,0,1,7,5,3,7,0,0,0,6,6,2,30,3,1,7,0,0,41,1,4,2,4
SDM_SecA,7,0,5,10,1,6,5,4,16,7,0,0,0,1,0,0,0,0,3,8,5,0,7,17,7,0,0,4,9,0,0,0,0,2,5,11,4,9,2,0,0,0,0,1,5,0,6,0,0,4,7,17,7,1,17,1,47,0,0,14
SDM_SecB,1,1,6,6,5,3,5,2,0,12,6,4,8,3,8,0,0,0,7,10,5,3,11,3,5,4,0,5,2,0,3,0,0,0,2,12,4,4,5,2,0,0,1,0,0,0,16,11,0,6,8,7,7,2,4,4,0,46,0,7
SDM_SecC,3,6,0,2,10,8,2,0,1,0,9,17,5,0,4,3,15,0,11,4,3,2,2,0,0,5,4,6,1,0,12,7,4,0,0,0,9,0,11,5,12,9,3,0,0,0,1,14,13,0,1,0,3,0,0,2,0,0,46,1
SMTI,8,5,18,3,4,4,6,1,4,12,5,2,5,1,5,1,0,3,4,19,9,3,9,11,5,4,1,4,12,0,3,3,2,5,13,8,3,13,3,0,0,0,8,4,4,0,13,5,1,7,2,16,1,5,7,4,14,7,1,64
